group_name,season_type,min,off_rating,def_rating,net_rating,pace,ast_pct,reb_pct,ts_pct,lineup_quality,offense_tier,defense_tier,lineup_stability_score,two_way_score
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,Regular Season,541.0,115.0,112.8,2.3,100.65,0.704,0.512,0.612,Positive,Average,Average,0.3069,2.2
K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,Regular Season,123.0,132.9,116.6,16.3,95.32,0.585,0.504,0.661,Elite,Elite,Average,0.0698,16.3
K. Towns - O. Anunoby - M. Bridges - J. Brunson - L. Shamet,Regular Season,119.0,108.4,109.0,-0.6,104.14,0.687,0.506,0.543,Neutral,Average,Strong,0.0675,-0.6
K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. McBride,Regular Season,91.0,126.9,128.3,-1.4,100.83,0.702,0.488,0.666,Neutral,Elite,Poor,0.0516,-1.4
K. Towns - J. Hart - M. Bridges - J. Brunson - L. Shamet,Regular Season,84.0,111.0,111.0,0.0,101.17,0.628,0.488,0.581,Neutral,Average,Strong,0.0476,0.0
O. Anunoby - J. Hart - M. Bridges - J. Brunson - M. Robinson,Regular Season,70.0,133.8,109.8,24.0,96.21,0.653,0.521,0.696,Elite,Elite,Strong,0.0397,24.0
J. Clarkson - K. Towns - O. Anunoby - M. Bridges - T. Kolek,Regular Season,63.0,110.9,108.1,2.7,100.6,0.688,0.491,0.635,Positive,Average,Strong,0.0357,2.8
K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. Robinson,Regular Season,52.0,118.1,109.2,8.9,97.95,0.625,0.527,0.532,Elite,Strong,Strong,0.0295,8.9
O. Anunoby - M. Bridges - J. Brunson - M. Robinson - L. Shamet,Regular Season,48.0,111.9,94.1,17.8,102.55,0.486,0.518,0.552,Elite,Average,Elite,0.0272,17.8
K. Towns - O. Anunoby - J. Hart - J. Brunson - L. Shamet,Regular Season,45.0,113.6,128.0,-14.4,107.44,0.69,0.506,0.589,Negative,Average,Poor,0.0255,-14.4
J. Hart - M. Bridges - J. Brunson - M. Robinson - M. McBride,Regular Season,41.0,122.2,94.6,27.7,105.44,0.553,0.589,0.58,Elite,Strong,Elite,0.0233,27.6
J. Clarkson - K. Towns - J. Hart - M. Bridges - J. Brunson,Regular Season,38.0,118.9,127.2,-8.2,98.3,0.517,0.475,0.633,Negative,Strong,Poor,0.0216,-8.3
J. Clarkson - K. Towns - O. Anunoby - M. Bridges - M. McBride,Regular Season,38.0,116.5,116.5,0.0,99.39,0.688,0.457,0.565,Neutral,Strong,Average,0.0216,0.0
