GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,12,10,2,0.833,205.0,117.4,118.8,109.3,108.9,8.1,9.9,0.663,2.38,21.3,0.24,0.743,0.5,0.126,0.595,0.626,97.8,97.34,81.12,414,0.572,1,1,111,85,1,42,74,56,39,12,28,61,54,57,64,43,43,71,59,613930
Lineups,-1626157-1628404-1628969-1628973-1630540-,K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,6,5,1,0.833,32.0,121.2,120.6,112.4,111.3,8.8,9.3,0.704,2.38,20.9,0.3,0.7,0.5,0.127,0.57,0.606,94.2,94.89,79.08,63,0.533,3,3,84,85,2,41,77,58,32,13,29,54,57,57,65,48,49,80,67,94845
Lineups,-1626157-1628384-1628404-1628973-1630540-,K. Towns - O. Anunoby - J. Hart - J. Brunson - M. McBride,1610612752,NYK,5,4,1,0.8,30.0,135.0,136.9,80.7,77.4,54.3,59.5,0.548,1.89,18.5,0.385,0.667,0.559,0.138,0.632,0.685,99.6,100.9,84.08,65,0.837,5,5,84,88,3,27,45,20,47,21,41,41,60,54,66,36,33,61,33,90625
Lineups,-1628404-1628969-1628973-1629011-1630540-,J. Hart - M. Bridges - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,4,3,1,0.75,22.0,130.4,130.2,121.7,116.3,8.6,14.0,0.524,2.2,17.7,0.381,0.737,0.55,0.116,0.625,0.637,92.0,94.17,78.48,43,0.534,7,10,84,90,4,32,81,52,48,14,45,42,55,55,62,37,40,83,66,65750
Lineups,-1626157-1628384-1628969-1628973-1629013-,K. Towns - O. Anunoby - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,3,3,0,1.0,21.0,160.6,162.8,61.9,61.5,98.6,101.3,0.44,3.67,18.3,0.4,0.905,0.694,0.07,0.784,0.803,96.0,95.55,79.62,43,1.054,13,10,1,1,5,17,30,7,61,3,42,39,37,26,57,18,19,78,13,61790
Lineups,-203903-1628384-1628973-1629011-1630540-,J. Clarkson - O. Anunoby - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,5,4,1,0.8,17.0,134.7,130.3,77.3,72.2,57.4,58.1,0.333,2.5,10.6,0.45,0.737,0.59,0.061,0.533,0.567,91.3,96.05,80.04,33,0.877,5,5,84,88,6,31,40,21,67,10,67,37,55,49,56,55,56,77,30,51725
Lineups,-1629013-1630574-1642278-1642359-1642885-,L. Shamet - A. Hukporti - T. Kolek - P. Dadiet - M. Diawara,1610612752,NYK,2,2,0,1.0,13.0,106.6,107.4,90.2,84.6,16.5,22.8,0.727,1.6,20.5,0.308,0.833,0.56,0.185,0.543,0.575,95.6,98.22,81.85,27,0.72,24,22,1,1,7,53,49,45,31,22,31,52,41,53,83,54,53,67,41,38850
Lineups,-1628384-1628404-1628969-1628973-1629011-,O. Anunoby - J. Hart - M. Bridges - J. Brunson - M. Robinson,1610612752,NYK,7,6,1,0.857,13.0,114.4,97.0,116.4,109.4,-1.9,-12.4,0.667,2.0,19.5,0.0,0.75,0.462,0.121,0.65,0.668,107.6,120.46,100.39,33,0.553,2,2,84,84,7,69,75,84,33,15,39,64,49,80,63,33,34,30,61,38850
Lineups,-1628384-1628404-1628969-1628973-1629013-,O. Anunoby - J. Hart - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,4,4,0,1.0,12.0,107.8,93.1,83.3,89.7,24.5,3.4,0.571,0.8,11.8,0.125,0.667,0.5,0.172,0.5,0.642,110.9,114.33,95.28,29,0.809,7,5,1,1,9,70,53,62,45,41,63,63,60,57,81,56,37,38,35,36525
Lineups,-1630574-1631110-1642278-1642359-1642885-,A. Hukporti - J. Sochan - T. Kolek - P. Dadiet - M. Diawara,1610612752,NYK,2,2,0,1.0,11.0,66.6,65.4,132.2,133.3,-65.6,-67.9,0.667,0.57,12.1,0.273,0.9,0.571,0.269,0.406,0.435,105.1,105.73,88.11,26,0.146,24,22,1,1,10,83,87,95,33,44,62,55,38,51,93,73,77,57,85,34050
